"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Ashburn","Chicago","IL","Chicago","Cook",581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104900,109900,121450,123000,122500,120000,124900,128500,126950,129450,124999.5,119850,112500,119000,122436.5,129950,133700,129900,129900,129900,129900,132400,137450,137655,138277.5,139000,133450
"Beverly","Chicago","IL","Chicago","Cook",582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327750,339450,365000,344450,344450,339500,352950,349000,339000,332388.5,344000,349000,329388.5,338000,329000,345000,355000,344900,349900,335000,325500,324950,324950,324200,323500,319000,299900
"Gandy-Sun Bay South","Tampa","FL","Tampa","Hillsborough",583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162250,147500,150000,158850,169900,179700,169900,164900,169900,179700,174950,175000,194445,189900,199000,214900,225000,233000,236450,231450,233000,222500,229900,245000,249000,234900,229900
"Sarasota Springs","Sarasota","FL","North Port-Sarasota-Bradenton, FL","Sarasota",584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145500,144900,149500,149000,139900,140950,139950,134950,150000,149900,143500,149000,139900,140000,155000,159900,159900,165400,164950,165000,179450,187350,189900,194900,189000,195000,194950
"Western Branch South","Chesapeake","VA","Virginia Beach","Chesapeake City",585,269900,262300,297723.5,302225,275000,289000,294430,294430,267900,261662.5,262425,277450,264900,273950,260000,265000,270000,262000,239950,235000,236900,255000,259900,249870,240000,237900,235000,235000,234900,228800,228800,234900,229950,237000,259900,264950,275000,255500,276000,289450,294000,289900,292400,285000,301325,299982.5,285000,298222.5,299900,310000,315000,324990,327450,327450,309900,317500,329990,289450,305000,289900,320000,339950,346412.5,341445,334999,324900,321945,314750,326750,313500,299350,299900,284000
"North Stamford","Stamford","CT","Stamford","Fairfield",586,799000,859000,849900,839000,829000,827000,825000,799450,799900,799000,790000,789500,795000,787000,799000,8e+05,854450,825000,819950,844000,799000,804500,829000,819500,797000,787000,799000,799000,799000,799000,799000,795000,799000,799000,795000,799499.5,799900,799000,814500,829000,855000,860000,849000,839000,839000,832450,824950,824900,824900,824000,799450,827000,836500,810000,799000,795000,797000,779000,770000,769000,749950,775000,787000,766500,788500,775000,779500,799000,799000,794000,784000,799000,799999
"Aberdeen","Hampton","VA","Virginia Beach","Hampton City",587,165900,165200,163900,159450,160000,164900,164900,168000,159900,156950,150000,145000,149900,149950,146875,140075,139000,137000,136000,135840,137000,139000,135450,130000,128900,134900,134900,129950,117450,130000,130000,130000,124900,130000,142000,144950,145250,139900,144950,144200,144950,139900,135150,127500,141299,144950,145000,137000,137500,128850,145000,134200,130000,134750,129900,129900,129900,139000,130000,129900,138249.5,134000,134950,139900,139900,139900,138900,135000,139900,139900,135000,137450,137450
"St.Johns","Portland","OR","Portland","Multnomah",588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204995,205000,205000,205000,214700,220000,224900,224950,239999,239475,239999.5,234900,226950,204950,229950,229950,237400,259900,260000,255000,245000,252500,248185,249950,250000,257500,260000,255000
"North Gateway","Phoenix","AZ","Phoenix","Maricopa",589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000,325000,319500,329880,330000,357500,340000,339000,335000,339000,339990,344990,344490,336250,331450,329000,330000,330000,327000,341990,343990,339000,339990,348995,347990,349500,349900,345000
"The Fan","Richmond","VA","Richmond","Richmond City",590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439000,471975,450000,424975,409000,372475,421975,484000,444900,369475,369475,359925
