GEO.id,GEO.display-label,TotalHH,AvgHHSize,NonFamilyHHSize,HHChildren18,TotalHHNonFamily,HHOwnerOcc,HHRentOcc,GEO.id2
1400000US11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",730,2.63,1.18,215,353,19.9,80.1,11001009801
1400000US11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",564,2.74,1.18,147,195,29.8,70.2,11001009802
1400000US11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",1168,2.37,1.3,245,631,10.9,89.1,11001009803
1400000US11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",981,2.54,1.07,222,449,35.8,64.2,11001009804
1400000US11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",1318,2.38,1.12,275,623,42.8,57.2,11001009807
1400000US11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",1061,2.33,1.32,430,478,8.1,91.9,11001009810
1400000US11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",1783,2.66,1.14,678,635,11.7,88.3,11001009811
1400000US11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",976,2.28,1.06,159,382,79.5,20.5,11001009901
1400000US11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",1160,2.41,1.1,157,450,72,28,11001009902
1400000US11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",707,2.5,1.17,210,247,53.7,46.3,11001009903
1400000US11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",871,2.47,1.11,227,483,31.9,68.1,11001009904
1400000US11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",1074,2.55,1.12,330,451,41.5,58.5,11001009905
1400000US11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",636,2.36,1.22,220,240,39.2,60.8,11001009906
1400000US11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",1058,2.69,1.04,387,318,20.9,79.1,11001009907
1400000US11001010100,"Census Tract 101, District of Columbia, District of Columbia",1764,1.35,1.19,34,1518,24.4,75.6,11001010100
1400000US11001010200,"Census Tract 102, District of Columbia, District of Columbia",1326,1.9,1.25,141,799,33.3,66.7,11001010200
1400000US11001010300,"Census Tract 103, District of Columbia, District of Columbia",1155,2.68,1.62,300,443,53,47,11001010300
1400000US11001010400,"Census Tract 104, District of Columbia, District of Columbia",1591,2.51,1.09,330,860,28.9,71.1,11001010400
1400000US11001010500,"Census Tract 105, District of Columbia, District of Columbia",2255,1.51,1.19,82,1687,37.3,62.7,11001010500
1400000US11001010600,"Census Tract 106, District of Columbia, District of Columbia",2219,2.27,1.86,235,1472,32.2,67.8,11001010600
1400000US11001010700,"Census Tract 107, District of Columbia, District of Columbia",1140,1.52,1.38,0,1016,14.5,85.5,11001010700
1400000US11001010800,"Census Tract 108, District of Columbia, District of Columbia",890,1.54,1.44,0,830,11.7,88.3,11001010800
1400000US11001010900,"Census Tract 109, District of Columbia, District of Columbia",1142,2.83,1.28,423,530,3.2,96.8,11001010900
1400000US11001011000,"Census Tract 110, District of Columbia, District of Columbia",2179,1.51,1.21,144,1594,62,38,11001011000
1400000US11001011100,"Census Tract 111, District of Columbia, District of Columbia",1666,2.64,1.16,273,836,68.2,31.8,11001011100
